Time, X, Y, Z
35.32135,-0.2163764,0.86,0.1516781
40.50134,-0.2064737,0.86,0.1918229
45.88135,-0.1958575,0.86,0.1516037
51.58136,-0.1597154,0.86,0.2048662
62.50134,-0.2025968,0.86,0.1839746
70.00134,-0.1627538,0.86,0.189274
74.92133,-0.1740067,0.86,0.1442803
78.26135,-0.2007461,0.86,0.180355
89.94135,-0.155747,0.86,0.1358216
94.32135,-0.2164613,0.86,0.1930824
107.9013,-0.1732995,0.86,0.1616095
110.8613,-0.2125388,0.86,0.1647069
142.2014,-0.1650897,0.86,0.1862489
145.6413,-0.2050882,0.86,0.2081578
151.4013,-0.2124383,0.86,0.1464134
176.5013,-0.1907854,0.86,0.2084042
205.9614,-0.214763,0.86,0.1554084
209.0213,-0.221301,0.86,0.2034285
213.7014,-0.1591904,0.86,0.1998245
216.4213,-0.1787503,0.86,0.1610002
219.0084,-0.1794888,0.86,0.2033307
225.9213,-0.1530585,0.86,0.1762006
228.9614,-0.2121919,0.86,0.1561667
232.7813,-0.1671426,0.86,0.2099072
236.7613,-0.1722188,0.86,0.147945
240.9614,-0.2030902,0.86,0.2030935
245.0814,-0.1725199,0.86,0.1832642
247.1213,-0.1825037,0.86,0.1416323
253.5413,-0.1501932,0.86,0.1995005
256.6413,-0.1888857,0.86,0.166518
259.8013,-0.2182961,0.86,0.1899279
287.3614,-0.1532563,0.86,0.189876
295.9614,-0.2037249,0.86,0.1563297
299.2014,-0.1584431,0.86,0.2044465
302.0814,-0.1678953,0.86,0.1618945
304.4024,-0.1875478,0.86,0.1923777
312.0013,-0.173248,0.86,0.1357992
319.0213,-0.2064943,0.86,0.1714777
321.6413,-0.1722057,0.86,0.1351799
324.9814,-0.19337,0.86,0.1975773
326.9413,-0.1556497,0.86,0.195484
331.1613,-0.1978621,0.86,0.1893054
340.7014,-0.1589866,0.86,0.2065123
342.4213,-0.1588396,0.86,0.1512434
351.2413,-0.2201583,0.86,0.1938109
359.5613,-0.1613783,0.86,0.197558
362.0413,-0.2136421,0.86,0.2080658
386.7014,-0.1910791,0.86,0.1594822
406.3813,-0.218974,0.86,0.1851635
412.5413,-0.1983286,0.86,0.1492029
418.9213,-0.1635865,0.86,0.1620361
421.3613,-0.179038,0.86,0.1999437
424.2817,-0.2226819,0.86,0.1945464
429.5013,-0.1708605,0.86,0.1384033
431.7014,-0.197671,0.86,0.1817699
435.4213,-0.216209,0.86,0.1393911
437.4213,-0.1701642,0.86,0.16269
446.3613,-0.1520502,0.86,0.1991594
449.8013,-0.1795747,0.86,0.1408531
452.3013,-0.2159185,0.86,0.1558339
458.2654,-0.1606099,0.86,0.1668685
462.2813,-0.2200606,0.86,0.1584753
468.3214,-0.1789164,0.86,0.1994767
472.3414,-0.2169183,0.86,0.1407611
479.0128,-0.1599329,0.86,0.1609461
483.9213,-0.2000326,0.86,0.1789369
